"local_site","DateTime","mmt_num","SM"
"MRS1",2018-05-12 10:00:00,5,0.2407
"MRS1",2018-05-12 11:00:00,1,0.0983
"MRS1",2018-05-12 11:00:00,2,0.1659
"MRS1",2018-05-12 11:00:00,3,0.0598
"MRS1",2018-05-12 11:00:00,4,0.1492
"MRS1",2018-05-12 11:00:00,5,0.2407
"MRS1",2018-05-12 12:00:00,1,0.0991
"MRS1",2018-05-12 12:00:00,2,0.1666
"MRS1",2018-05-12 12:00:00,3,0.0606
"MRS1",2018-05-12 12:00:00,4,0.1499
"MRS1",2018-05-12 12:00:00,5,0.2414
"MRS1",2018-05-12 13:00:00,1,0.0976
"MRS1",2018-05-12 13:00:00,2,0.1702
"MRS1",2018-05-12 13:00:00,3,0.0606
"MRS1",2018-05-12 13:00:00,4,0.1499
"MRS1",2018-05-12 13:00:00,5,0.2407
"MRS1",2018-05-12 14:00:00,1,0.0969
"MRS1",2018-05-12 14:00:00,2,0.1688
"MRS1",2018-05-12 14:00:00,3,0.0591
"MRS1",2018-05-12 14:00:00,4,0.1506
"MRS1",2018-05-12 14:00:00,5,0.24
"MRS1",2018-05-12 15:00:00,1,0.0969
"MRS1",2018-05-12 15:00:00,2,0.1673
"MRS1",2018-05-12 15:00:00,3,0.0591
"MRS1",2018-05-12 15:00:00,4,0.1499
"MRS1",2018-05-12 15:00:00,5,0.2392
"MRS1",2018-05-12 16:00:00,1,0.0976
"MRS1",2018-05-12 16:00:00,2,0.1659
"MRS1",2018-05-12 16:00:00,3,0.0598
"MRS1",2018-05-12 16:00:00,4,0.1499
"MRS1",2018-05-12 16:00:00,5,0.2378
"MRS1",2018-05-12 17:00:00,1,0.0969
"MRS1",2018-05-12 17:00:00,2,0.1666
"MRS1",2018-05-12 17:00:00,3,0.0584
"MRS1",2018-05-12 17:00:00,4,0.1485
"MRS1",2018-05-12 17:00:00,5,0.2371
"MRS1",2018-05-12 18:00:00,1,0.0976
"MRS1",2018-05-12 18:00:00,2,0.1659
"MRS1",2018-05-12 18:00:00,3,0.0606
"MRS1",2018-05-12 18:00:00,4,0.1477
"MRS1",2018-05-12 18:00:00,5,0.2378
"MRS1",2018-05-12 19:00:00,1,0.0969
"MRS1",2018-05-12 19:00:00,2,0.1659
"MRS1",2018-05-12 19:00:00,3,0.0591
"MRS1",2018-05-12 19:00:00,4,0.1477
"MRS1",2018-05-12 19:00:00,5,0.2378
"MRS1",2018-05-12 20:00:00,1,0.0976
"MRS1",2018-05-12 20:00:00,2,0.1652
"MRS1",2018-05-12 20:00:00,3,0.0591
"MRS1",2018-05-12 20:00:00,4,0.147
"MRS1",2018-05-12 20:00:00,5,0.2371
"MRS1",2018-05-12 21:00:00,1,0.0983
"MRS1",2018-05-12 21:00:00,2,0.1652
"MRS1",2018-05-12 21:00:00,3,0.0598
"MRS1",2018-05-12 21:00:00,4,0.1463
"MRS1",2018-05-12 21:00:00,5,0.2385
"MRS1",2018-05-12 22:00:00,1,0.0998
"MRS1",2018-05-12 22:00:00,2,0.1652
"MRS1",2018-05-12 22:00:00,3,0.0606
"MRS1",2018-05-12 22:00:00,4,0.1463
"MRS1",2018-05-12 22:00:00,5,0.24
"MRS1",2018-05-12 23:00:00,1,0.1012
"MRS1",2018-05-12 23:00:00,2,0.1695
"MRS1",2018-05-12 23:00:00,3,0.062
"MRS1",2018-05-12 23:00:00,4,0.1477
"MRS1",2018-05-12 23:00:00,5,0.2429
"MRS1",2018-05-13 00:00:00,1,0.0998
"MRS1",2018-05-13 00:00:00,2,0.1732
"MRS1",2018-05-13 00:00:00,3,0.0613
"MRS1",2018-05-13 00:00:00,4,0.1463
"MRS1",2018-05-13 00:00:00,5,0.2422
"MRS1",2018-05-13 01:00:00,1,0.1005
"MRS1",2018-05-13 01:00:00,2,0.1739
"MRS1",2018-05-13 01:00:00,3,0.0613
"MRS1",2018-05-13 01:00:00,4,0.147
"MRS1",2018-05-13 01:00:00,5,0.2422
"MRS1",2018-05-13 02:00:00,1,0.1012
"MRS1",2018-05-13 02:00:00,2,0.1746
"MRS1",2018-05-13 02:00:00,3,0.0613
"MRS1",2018-05-13 02:00:00,4,0.1463
"MRS1",2018-05-13 02:00:00,5,0.2443
"MRS1",2018-05-13 03:00:00,1,0.1012
"MRS1",2018-05-13 03:00:00,2,0.1753
"MRS1",2018-05-13 03:00:00,3,0.0613
"MRS1",2018-05-13 03:00:00,4,0.1463
"MRS1",2018-05-13 03:00:00,5,0.2443
"MRS1",2018-05-13 04:00:00,1,0.1012
"MRS1",2018-05-13 04:00:00,2,0.1746
"MRS1",2018-05-13 04:00:00,3,0.062
"MRS1",2018-05-13 04:00:00,4,0.1441
"MRS1",2018-05-13 04:00:00,5,0.2451
"MRS1",2018-05-13 05:00:00,1,0.1012
"MRS1",2018-05-13 05:00:00,2,0.1746
"MRS1",2018-05-13 05:00:00,3,0.062
"MRS1",2018-05-13 05:00:00,4,0.1448
"MRS1",2018-05-13 05:00:00,5,0.2451
"MRS1",2018-05-13 06:00:00,1,0.102
"MRS1",2018-05-13 06:00:00,2,0.1746
"MRS1",2018-05-13 06:00:00,3,0.0628
"MRS1",2018-05-13 06:00:00,4,0.1456
"MRS1",2018-05-13 06:00:00,5,0.2458
"MRS1",2018-05-13 07:00:00,1,0.1027
"MRS1",2018-05-13 07:00:00,2,0.1739
"MRS1",2018-05-13 07:00:00,3,0.062
"MRS1",2018-05-13 07:00:00,4,0.147
"MRS1",2018-05-13 07:00:00,5,0.2451
"MRS1",2018-05-13 08:00:00,1,0.1027
"MRS1",2018-05-13 08:00:00,2,0.1746
"MRS1",2018-05-13 08:00:00,3,0.062
"MRS1",2018-05-13 08:00:00,4,0.1477
